,Player,Nation,Pos,90s,Squad,Comp,Age,Goals,Offensive Rate,Defensive Rate,Passing Rate,Playmaking Rate,Physical Rate,Overall Rating
56,Ethan Ampadu,WAL,DF,15.1,Spezia,Serie A,22,0,16.67706099272282,56.83331954261045,38.082200424773994,15.319230247903562,86.61375768770172,63.794646922408496
57,Sofyan Amrabat,MAR,MF,12.9,Fiorentina,Serie A,26,0,11.461663047502125,33.932248207699985,38.693057293777805,7.085497185486165,66.81280911495864,25.760454974919153
58,Joachim Andersen,DEN,DF,16.4,Crystal Palace,Premier League,26,1,23.977208067759964,68.76818281669343,40.53650445469435,4.876911733475235,90.71935754633516,70.59117360710563
59,Felipe Anderson,BRA,FW,18.7,Lazio,Serie A,29,6,44.14725020322569,43.86018753466631,64.60895448641543,49.33807051815195,65.76520887114185,55.935144813140035
60,Benjamin André,FRA,MF,19.5,Lille,Ligue 1,32,1,14.24462969795115,78.99251983373547,59.68481928252548,23.979676610046475,87.38709480991334,48.069506651445884
61,Komnen Andri?,SRB,FW,13.9,Clermont Foot,Ligue 1,27,4,34.737044102558116,27.821658201829884,43.3760236785527,17.077357795464007,58.632244354409565,41.07416852998749
62,Robert Andrich,GER,MF,15.7,Leverkusen,Bundesliga,28,2,20.395388949963653,49.94045701126552,44.39901639195741,12.40578907019659,76.61923802951266,34.09026070868275
63,Angeliño,ESP,DF,17.7,Hoffenheim,Bundesliga,26,0,15.814053472415052,34.0936169835679,64.48975434391019,33.42922576182287,68.60939264352247,52.19577723269302
64,Fabrizio Angileri,ARG,DF,5.7,Getafe,La Liga,28,0,1.3100164993450905,18.115391877133984,9.460909890667716,7.700359392986325,75.37296770657846,36.29626632663232
65,Jaidon Anthony,ENG,MF,8.7,Bournemouth,Premier League,23,3,31.163538548110715,25.076283876101595,24.69503153957123,12.814593207135333,53.8588650797157,25.59347312464439
66,Waldemar Anton,GER,DF,19.9,Stuttgart,Bundesliga,26,1,20.392032366130397,65.03174403907461,49.86217678049094,11.731235534663597,83.6117482290377,67.88098772656488
67,Michail Antonio,JAM,FW,11.7,West Ham,Premier League,32,2,25.31438657456317,19.147705657592663,26.17137078746441,32.3897589325443,49.27291232322998,32.27795832925941
68,Antony,BRA,FW,10.1,Manchester Utd,Premier League,22,3,34.54470289273349,14.587887891263515,27.248529788684543,14.01680989759254,61.036799480382406,38.25215493102723
69,Christopher Antwi-Adjei,GHA,FW,8.8,Bochum,Bundesliga,29,2,19.825732082831745,14.139629507223429,29.296994248264014,35.618403591548216,47.66273570544178,28.450162950313494
70,Dennis Appiah,FRA,DF,8.8,Nantes,Ligue 1,30,0,6.201812124386267,26.796075000955433,20.360860803307787,10.528490148247318,59.67483305255039,37.01156450159387
71,Mauro Arambarri,URU,MF,6.5,Getafe,La Liga,27,0,2.593147522702297,19.054949813467413,22.737804208635065,9.230611099099146,80.93073021930068,22.23298464814214
72,Charles Aránguiz,CHI,MF,5.5,Leverkusen,Bundesliga,33,1,13.585270220801252,10.849046540886691,14.182011881165165,3.2152784272503974,42.18645340694583,12.714348072616593
73,Ronald Araújo,URU,DF,9.5,Barcelona,La Liga,23,0,2.595315706249707,28.36620479156928,25.042638917597,8.038345236196449,86.55895426959223,46.80171627421882
74,Joe Aribo,NGA,MF,12.2,Southampton,Premier League,26,2,28.58061080254949,30.91712124085419,33.852873379877494,12.580951534908769,58.57203444603146,28.469059581295767
75,Adam Armstrong,ENG,FW,11.4,Southampton,Premier League,26,1,23.697250965494522,13.038747895101361,33.00685849543169,7.520140108338295,40.91379625307002,27.703416855726942
76,Stuart Armstrong,SCO,MF,8.5,Southampton,Premier League,30,1,14.260963668676139,20.807245406637087,29.568308343754573,11.576287164645786,53.34875948065305,23.51831865514738
77,Marko Arnautovi?,AUT,FW,13.2,Bologna,Serie A,33,8,44.748303625611626,22.880962496988722,42.840141311409916,21.313918856355116,74.2942972548997,50.45763391525775
78,Maximilian Arnold,GER,MF,19.2,Wolfsburg,Bundesliga,28,4,31.34569286168855,53.202321554943474,66.8862064782925,34.76384486550577,79.30054600442489,53.97074334699632
79,Tolgay Arslan,GER,MF,9.1,Udinese,Serie A,32,1,17.579933234954215,30.188296332909374,29.56782363882673,10.688425849041987,63.9434103964114,25.676780621590478
80,Arthur,BRA,FW,7.4,Fiorentina,Serie A,24,3,30.974918813542228,14.42939066222722,22.234839088190007,9.961304386319334,51.4284409442426,33.44850436509844
81,Takuma Asano,JPN,FW,7.1,Bochum,Bundesliga,28,1,18.327812885982613,11.164009845163,20.80353008451314,16.423321362448974,53.51193957969285,24.66502001469977
82,Santiago Ascacíbar,ARG,MF,8.1,Cremonese,Serie A,25,0,10.04238366529799,23.22742285111835,25.67815586843704,13.106239996790256,52.302602303617185,23.17772744613822
83,Marco Asensio,ESP,FW,5.6,Real Madrid,La Liga,27,2,25.305857462777393,21.62210421346728,26.452544052119915,16.7835213891365,75.1009803722573,33.615636771521736
84,Kristoffer Askildsen,NOR,MF,6.6,Lecce,Serie A,22,0,8.920652728354069,17.86886470141167,17.206013501103882,6.168027460064076,51.63090912781375,16.4477203366484
85,Iago Aspas,ESP,FW,18.5,Celta Vigo,La Liga,35,9,54.41690158179805,29.364997006378246,85.66787166558485,39.50326263415179,73.0164207278706,64.86239243659105
86,Youcef Atal,ALG,DF,7.1,Nice,Ligue 1,26,1,17.88524421004043,24.950625382557696,24.20444988662018,19.602899060285495,55.156595692857294,37.431126584364826
87,Tommaso Augello,ITA,DF,18.1,Sampdoria,Serie A,28,1,18.319071825363274,42.91078041347264,55.01624807241821,22.10704076968078,78.60636937503807,57.572805015635765
88,Serge Aurier,CIV,DF,12.0,Nott'ham Forest,Premier League,30,1,14.669117360609283,50.930407873779195,30.14836897138705,6.090077820246507,82.79317653949762,57.58472642929098
89,Mathias Autret,FRA,MF,13.2,Auxerre,Ligue 1,31,2,30.628547715259092,23.184086724514664,50.1848344431837,35.93489488144319,53.405450215955376,44.33400124634534
90,Ezequiel Ávila,ARG,FW,12.9,Osasuna,La Liga,29,7,49.66807428458001,22.89798548080892,35.39502782548256,16.497767212774384,62.62203909310493,51.37960291125152
91,Cédric Avinel,GLP,DF,12.2,Ajaccio,Ligue 1,36,1,17.67953244404998,38.994325828306344,28.961834436407095,2.629715903624531,81.96416610365095,51.64686635602111
92,Taiwo Awoniyi,NGA,FW,8.1,Nott'ham Forest,Premier League,25,4,33.38883606829785,11.297642375129342,21.5896489865043,9.680447999335408,38.140134369862174,33.43822801077871
93,Jordan Ayew,GHA,FW,16.6,Crystal Palace,Premier League,31,1,25.27540228628687,39.7479251486337,46.17589265160996,35.323296559952745,59.08140614130426,37.176955791344966
94,Kaan Ayhan,TUR,DF,6.1,Sassuolo,Serie A,28,0,14.37937225613062,13.232266074278407,14.966384391631692,1.6066755937169317,45.352873119938295,25.178870203777276
95,Luke Ayling,ENG,DF,7.8,Leeds United,Premier League,31,0,5.596044734988161,28.0910211354925,18.201519315030456,5.898316497066574,58.624869153214696,36.39733162273496
96,César Azpilicueta,ESP,DF,11.4,Chelsea,Premier League,33,0,7.391516103138993,42.287811015956464,30.404302688969477,7.190582099711031,67.21537743317029,47.59916451612459
97,Iddrisu Baba,GHA,MF,11.1,Mallorca,La Liga,27,0,3.032421509407552,34.605279688290565,28.50912485771952,2.5670834356228944,70.714318974997,20.401088932264713
98,Sr?an Babi?,SRB,DF,17.5,Almería,La Liga,26,1,28.229206831814373,51.61698015717554,44.937555550051,6.8903565062850785,86.16315180546817,62.393570954743026
99,Alex Baena,ESP,MF,11.5,Villarreal,La Liga,21,4,37.019897454777045,8.863439869063221,41.98658802631534,30.31591442796291,35.14861198503394,36.242797155612124
100,Leon Bailey,JAM,FW,14.6,Aston Villa,Premier League,25,4,36.26797973257656,20.537522611796522,41.368662395097935,38.068192164744666,56.97728702782796,43.780206427083414
101,Nedim Bajrami,ALB,MF,10.5,Empoli,Serie A,23,1,20.448705759193032,12.488882703756353,34.33383963687136,24.540066136246484,42.32426317178255,30.523938982187904
102,Mitchel Bakker,NED,MF,10.8,Leverkusen,Bundesliga,22,2,20.73887415932098,26.586974444629035,31.94853968069602,7.748768961087937,63.66402042173559,24.45657533348295
103,Ridle Baku,GER,DF,19.2,Wolfsburg,Bundesliga,24,5,37.060308846532294,46.59394243098111,58.76053932136017,30.69571256261859,73.00424219051293,60.89279500869225
104,Tommaso Baldanzi,ITA,MF,8.5,Empoli,Serie A,19,4,33.05175327518006,16.633748071214793,31.2042063083517,13.086650150324983,57.941733505498306,26.956614081498355
105,Alejandro Balde,ESP,DF,13.4,Barcelona,La Liga,19,0,12.823862231234878,27.504225135133808,43.83062496112159,23.597038822416657,59.18295546038256,42.10793396976106
106,Thierno Balde,FRA,DF,14.7,Troyes,Ligue 1,20,0,1.7211040999340164,25.037628021504066,43.925222776679064,20.051463082387517,56.78716652796666,38.48949029545131
107,Leonardo Balerdi,ARG,DF,19.6,Marseille,Ligue 1,24,0,1.2748919258770492,64.29216041049246,50.000151490940304,3.2936671223065943,74.51385132123893,61.27903518458423
108,Iván Balliu,ALB,DF,19.9,Rayo Vallecano,La Liga,31,0,11.263153851664912,52.37381285095377,59.36004986586146,13.487145442738955,83.58130188564355,62.31744266680325
109,Folarin Balogun,ENG,FW,17.7,Reims,Ligue 1,21,14,72.55600466350106,17.600915179634544,44.51130200555535,43.48560360085238,57.0941429934265,71.60823140883062
